t,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0000,1.017194,1.177674,0.055508,0.047580,0.097502,0.136722
2.0000,1.140509,1.405496,0.098142,0.090628,0.190030,0.362280
3.0000,1.090885,1.484683,0.132247,0.129573,0.277649,0.551917
4.0000,1.022479,1.562753,0.161173,0.164803,0.360452,0.685319
5.0000,0.955336,1.648527,0.186734,0.196671,0.438563,0.765330
6.0000,0.894089,1.738553,0.210021,0.225497,0.512124,0.802444
7.0000,0.840209,1.829171,0.231693,0.251569,0.581292,0.809418
8.0000,0.793790,1.917572,0.252130,0.275149,0.646237,0.797982
9.0000,0.754249,2.001817,0.271550,0.296475,0.707135,0.777197
10.0000,0.720735,2.080719,0.290071,0.315761,0.764166,0.753124
11.0000,0.692356,2.153669,0.307757,0.333201,0.817515,0.729272
12.0000,0.668285,2.220487,0.324644,0.348972,0.867364,0.707332
13.0000,0.647804,2.281275,0.340755,0.363231,0.913896,0.687876
14.0000,0.630307,2.336316,0.356105,0.376123,0.957290,0.670883
15.0000,0.615293,2.385996,0.370710,0.387780,0.997721,0.656083
16.0000,0.602351,2.430747,0.384585,0.398317,1.035358,0.643139
17.0000,0.591142,2.471015,0.397747,0.407844,1.070367,0.631740
18.0000,0.581391,2.507236,0.410217,0.416455,1.102905,0.621623
19.0000,0.572872,2.539821,0.422014,0.424239,1.133126,0.612583
20.0000,0.565398,2.569149,0.433163,0.431274,1.161175,0.604459
21.0000,0.558817,2.595568,0.443685,0.437633,1.187191,0.597125
22.0000,0.553000,2.619391,0.453607,0.443380,1.211306,0.590482
23.0000,0.547841,2.640897,0.462954,0.448573,1.233647,0.584452
24.0000,0.543252,2.660335,0.471750,0.453267,1.254330,0.578966
25.0000,0.539157,2.677927,0.480023,0.457508,1.273470,0.573971
26.0000,0.535493,2.693868,0.487796,0.461340,1.291172,0.569417
27.0000,0.532207,2.708332,0.495096,0.464802,1.307536,0.565262
28.0000,0.529253,2.721472,0.501947,0.467930,1.322656,0.561471
29.0000,0.526592,2.733423,0.508372,0.470756,1.336619,0.558009
30.0000,0.524189,2.744305,0.514394,0.473309,1.349510,0.554847
31.0000,0.522017,2.754225,0.520036,0.475616,1.361404,0.551958
32.0000,0.520049,2.763278,0.525319,0.477699,1.372375,0.549320
33.0000,0.518264,2.771546,0.530264,0.479581,1.382491,0.546909
34.0000,0.516642,2.779104,0.534890,0.481280,1.391814,0.544706
35.0000,0.515167,2.786020,0.539217,0.482815,1.400403,0.542693
36.0000,0.513823,2.792353,0.543261,0.484202,1.408314,0.540854
37.0000,0.512598,2.798155,0.547040,0.485454,1.415597,0.539174
