time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.1000,1.14319358,0.16978314,0.00593465,0.00497508,0.00992533,0.00172926
0.2000,1.26750389,0.31823862,0.01172003,0.00990066,0.01970265,0.00662166
0.3000,1.37226090,0.44524109,0.01733467,0.01477721,0.02933392,0.01422263
0.4000,1.45813341,0.55195553,0.02276530,0.01960522,0.03882107,0.02408630
0.5000,1.52668404,0.64037539,0.02800576,0.02438517,0.04816602,0.03579789
0.6000,1.57995425,0.71290145,0.03305553,0.02911754,0.05737067,0.04898686
0.7000,1.62013960,0.77201886,0.03791827,0.03380278,0.06643687,0.06333234
0.8000,1.64937027,0.82008404,0.04260046,0.03844138,0.07536647,0.07856299
0.9000,1.66958399,0.85920654,0.04711032,0.04303378,0.08416130,0.09445335
1.0000,1.68246843,0.89120055,0.05145700,0.04758045,0.09282314,0.11081854
1.1000,1.68944917,0.91758170,0.05565001,0.05208183,0.10135378,0.12750833
1.2000,1.69170436,0.93958942,0.05969882,0.05653838,0.10975496,0.14440139
1.3000,1.69019261,0.95822122,0.06361261,0.06095054,0.11802843,0.16140009
1.4000,1.68568529,0.97427028,0.06740018,0.06531874,0.12617588,0.17842600
1.5000,1.67879848,0.98836161,0.07106979,0.06964343,0.13419901,0.19541612
1.6000,1.67002189,1.00098418,0.07462921,0.07392503,0.14209948,0.21231981
1.7000,1.65974384,1.01251850,0.07808572,0.07816397,0.14987894,0.22909629
1.8000,1.64827212,1.02325932,0.08144608,0.08236067,0.15753902,0.24571265
1.9000,1.63585092,1.03343415,0.08471659,0.08651555,0.16508131,0.26214230
2.0000,1.62267455,1.04321802,0.08790315,0.09062903,0.17250741,0.27836370
2.1000,1.60889823,1.05274516,0.09101124,0.09470151,0.17981888,0.29435941
2.2000,1.59464666,1.06211817,0.09404596,0.09873341,0.18701726,0.31011531
2.3000,1.58002071,1.07141517,0.09701212,0.10272512,0.19410408,0.32562003
2.4000,1.56510255,1.08069536,0.09991417,0.10667704,0.20108085,0.34086443
2.5000,1.54995978,1.09000333,0.10275630,0.11058958,0.20794906,0.35584128
2.6000,1.53464852,1.09937241,0.10554243,0.11446311,0.21471016,0.37054495
2.7000,1.51921581,1.10882718,0.10827625,0.11829803,0.22136563,0.38497114
2.8000,1.50370155,1.11838553,0.11096118,0.12209471,0.22791688,0.39911675
2.9000,1.48813987,1.12806011,0.11360048,0.12585355,0.23436533,0.41297969
3.0000,1.47256031,1.13785957,0.11619717,0.12957491,0.24071237,0.42655876
3.1000,1.45698866,1.14778942,0.11875409,0.13325916,0.24695940,0.43985356
3.2000,1.44144762,1.15785274,0.12127393,0.13690668,0.25310776,0.45286437
3.3000,1.42595736,1.16805074,0.12375918,0.14051783,0.25915880,0.46559214
3.4000,1.41053588,1.17838316,0.12621220,0.14409297,0.26511385,0.47803834
3.5000,1.39519937,1.18884858,0.12863518,0.14763245,0.27097423,0.49020498
3.6000,1.37996240,1.19944468,0.13103020,0.15113664,0.27674121,0.50209451
3.7000,1.36483818,1.21016845,0.13339917,0.15460588,0.28241608,0.51370980
3.8000,1.34983869,1.22101631,0.13574392,0.15804051,0.28800011,0.52505410
3.9000,1.33497478,1.23198423,0.13806613,0.16144089,0.29349453,0.53613096
4.0000,1.32025632,1.24306785,0.14036738,0.16480735,0.29890058,0.54694428
4.1000,1.30569223,1.25426254,0.14264914,0.16814023,0.30421947,0.55749818
4.2000,1.29129062,1.26556343,0.14491279,0.17143986,0.30945240,0.56779704
4.3000,1.27705875,1.27696549,0.14715961,0.17470657,0.31460055,0.57784544
4.4000,1.26300320,1.28846358,0.14939077,0.17794069,0.31966509,0.58764814
4.5000,1.24912979,1.30005242,0.15160740,0.18114255,0.32464717,0.59721007
4.6000,1.23544374,1.31172667,0.15381052,0.18431245,0.32954794,0.60653628
4.7000,1.22194961,1.32348095,0.15600107,0.18745073,0.33436851,0.61563192
4.8000,1.20865139,1.33530982,0.15817993,0.19055770,0.33910999,0.62450225
4.9000,1.19555250,1.34720783,0.16034793,0.19363365,0.34377349,0.63315258
5.0000,1.18265587,1.35916952,0.16250579,0.19667891,0.34836008,0.64158828
5.1000,1.16996388,1.37118945,0.16465422,0.19969378,0.35287083,0.64981475
5.2000,1.15747849,1.38326218,0.16679384,0.20267856,0.35730680,0.65783742
5.3000,1.14520117,1.39538230,0.16892523,0.20563355,0.36166903,0.66566170
5.4000,1.13313302,1.40754446,0.17104892,0.20855904,0.36595853,0.67329300
5.5000,1.12127470,1.41974333,0.17316540,0.21145533,0.37017634,0.68073670
5.6000,1.10962652,1.43197366,0.17527510,0.21432271,0.37432344,0.68799817
5.7000,1.09818846,1.44423023,0.17737842,0.21716146,0.37840083,0.69508269
5.8000,1.08696015,1.45650793,0.17947571,0.21997187,0.38240948,0.70199550
5.9000,1.07594093,1.46880171,0.18156731,0.22275422,0.38635036,0.70874179
6.0000,1.06512986,1.48110660,0.18365349,0.22550879,0.39022442,0.71532667
6.1000,1.05452572,1.49341772,0.18573451,0.22823585,0.39403260,0.72175514
6.2000,1.04412709,1.50573029,0.18781061,0.23093568,0.39777581,0.72803214
6.3000,1.03393230,1.51803964,0.18988198,0.23360855,0.40145498,0.73416252
6.4000,1.02393947,1.53034120,0.19194879,0.23625473,0.40507102,0.74015101
